Model,Intensity,Accuracy,ECE,NLL
resnet18_v0,0,0.881640625,0.04637700027330993,0.33323601465672253
resnet18_v0,1,0.8438550067204301,0.075032183384792,0.5505954678200425
resnet18_v0,2,0.7879704301075269,0.10512253335764399,0.7726121550946626
resnet18_v0,3,0.7308257728494624,0.13837997764039756,1.0198536282905968
resnet18_v0,4,0.6643775201612904,0.17773449418064047,1.315380283340972
resnet18_v0,5,0.5569556451612904,0.251040816197019,1.9044983219755913
resnet18_v1,0,0.8775390625,0.046085087617029785,0.34819430778734384
resnet18_v1,1,0.8557962200598802,0.0650316148814909,0.48416566167272135
resnet18_v1,2,0.8161898858532934,0.08597108468052284,0.635269211432311
resnet18_v1,3,0.7777355445359282,0.10725559081333813,0.7818566882860161
resnet18_v1,4,0.7212177208083832,0.13909611808321642,1.0230100816729184
resnet18_v1,5,0.6267309131736527,0.19570894304796127,1.4769483562224281
resnet18_v2,0,0.88251953125,0.03971515399280179,0.320537734311074
resnet18_v2,1,0.8778614331317204,0.04983704443998249,0.4085776860380085
resnet18_v2,2,0.8551379788306451,0.060273095143656974,0.484976629128239
resnet18_v2,3,0.837838121639785,0.06739885861134098,0.543160896733283
resnet18_v2,4,0.8065566196236559,0.0833457932321835,0.6596300651129055
resnet18_v2,5,0.7451014364919355,0.1148477188685888,0.9063257210817869
resnet18_v3,0,0.857421875,0.05609829527020338,0.41543506979942324
resnet18_v3,1,0.8524130544354839,0.06599262912129689,0.5002566257702007
resnet18_v3,2,0.8338636172715054,0.07473433205984747,0.5685217067629339
resnet18_v3,3,0.8156817036290323,0.08302875860863423,0.6311252341375396
resnet18_v3,4,0.7874558971774194,0.09739800908846519,0.7331935237712597
resnet18_v3,5,0.7323273689516129,0.12365504201943622,0.9535638172359716
